date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:58	49728/49728	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2014:42:03%20GMT	https://www.jjconsulting.com.br/pt-br	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/pt-br.html	(from )
11:41:58	133/133	---MCZ	200	added ('OK')	text/plain	date:Thu,%2010%20Jul%202025%2014:42:03%20GMT	https://www.jjconsulting.com.br/robots.txt		(from )
11:41:59	6115/6115	---M--	200	added ('OK')	image/png	etag:%221db950a18738763%22	https://www.jjconsulting.com.br/images/logo-jj-cropped.png	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/images/logo-jj-cropped.png	(from https://www.jjconsulting.com.br/pt-br)
11:41:59	137970/137970	---M--	200	added ('OK')	image/webp	etag:%221db950a18718a72%22	https://www.jjconsulting.com.br/images/jj-bg.webp	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/images/jj-bg.webp	(from https://www.jjconsulting.com.br/pt-br)
11:41:59	6470/6470	---M--	200	added ('OK')	image/webp	etag:%221db9a7d87f2e746%22	https://www.jjconsulting.com.br/images/logo-horizontal-jj.webp	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/images/logo-horizontal-jj.webp	(from https://www.jjconsulting.com.br/pt-br)
11:42:00	232871/232871	---MCZ	200	added ('OK')	text/css	etag:%221db9ad6519610a7%22	https://www.jjconsulting.com.br/css/bootstrap.min.css	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/css/bootstrap.min.css	(from https://www.jjconsulting.com.br/pt-br)
11:42:00	85879/85879	---MCZ	200	added ('OK')	text/css	etag:%221db9ad65194d277%22	https://www.jjconsulting.com.br/css/bootstrap-icons/font/bootstrap-icons.min.css	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/css/bootstrap-icons/font/bootstrap-icons.min.css	(from https://www.jjconsulting.com.br/pt-br)
11:42:01	11830/11830	---MCZ	200	added ('OK')	text/css	etag:%221db9ad65195b336%22	https://www.jjconsulting.com.br/css/bootstrap-select.min.css	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/css/bootstrap-select.min.css	(from https://www.jjconsulting.com.br/pt-br)
11:42:01	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%221db9ad8e13c2ec5%22	https://www.jjconsulting.com.br/css/aos.min.css	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/css/aos.min.css	(from https://www.jjconsulting.com.br/pt-br)
11:42:01	50699/50699	---MCZ	200	added ('OK')	text/css	etag:%221dbaa604b08588b%22	https://www.jjconsulting.com.br/css/style.css?v=3	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/css/style30f4.css	(from https://www.jjconsulting.com.br/pt-br)
11:42:01	55924/55924	---MCZ	200	added ('OK')	text/css	etag:%221db950a17da2074%22	https://www.jjconsulting.com.br/css/animate.min.css	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/css/animate.min.css	(from https://www.jjconsulting.com.br/pt-br)
11:42:02	1782/1782	---M--	200	added ('OK')	image/png	etag:%221db950a18739676%22	https://www.jjconsulting.com.br/images/flags/pt-br.png	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/images/flags/pt-br.png	(from https://www.jjconsulting.com.br/pt-br)
11:42:02	396/396	---M--	200	added ('OK')	image/png	etag:%221db950a1873910c%22	https://www.jjconsulting.com.br/images/flags/en-us.png	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/images/flags/en-us.png	(from https://www.jjconsulting.com.br/pt-br)
11:42:02	646/646	---M--	200	added ('OK')	image/png	etag:%221db950a18739206%22	https://www.jjconsulting.com.br/images/flags/es-mx.png	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/images/flags/es-mx.png	(from https://www.jjconsulting.com.br/pt-br)
11:42:03	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2010%20Jul%202025%2014:42:07%20GMT	https://www.jjconsulting.com.br/infinity	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/infinity.d.delayed	(from https://www.jjconsulting.com.br/pt-br)
11:42:03	15429/15429	---MC-	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2014:42:08%20GMT	https://www.jjconsulting.com.br/infinity/Account/Login?ReturnUrl=%2Finfinity	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/infinity/Account/Login89ef.html	(from https://www.jjconsulting.com.br/pt-br)
11:42:04	19773/19773	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2014:42:08%20GMT	https://www.jjconsulting.com.br/pt-br/products	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/pt-br/products.html	(from https://www.jjconsulting.com.br/pt-br)
11:42:05	49939/49939	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202025%2014:42:08%20GMT	https://www.jjconsulting.com.br/pt-br?section=solucoes	C:/Meus%20Sites/JJConsulting/www.jjconsulting.com.br/pt-br4f77.html	(from https://www.jjconsulting.com.br/pt-br)
